history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
2004-11-01,Consumer Price Index,Implants,0.889988,229772486040.8156,-0.008946
2004-11-01,Consumer Price Index,Skills,0.988094,273862710091.6364,-0.001153
2004-11-01,Consumer Price Index,Starbase structures,1.033529,23377704924.8698,0.000277
2004-11-01,Consumer Price Index,Tech I modules,1.037977,192421490450.2604,0.002586
2004-11-01,Consumer Price Index,Tech I ships,0.965509,1287814892710.6013,-0.015719
2004-11-01,Consumer Price Index,Tech II modules,0.880123,249473082587.1876,-0.010584
2004-11-01,Consumer Price Index,Tech II ships,0.860179,123553194183.2284,-0.006113
2004-11-01,Mineral Price Index,High-End Minerals,0.984321,495185254606.1722,-0.010006
2004-11-01,Mineral Price Index,Low-End Minerals,0.981121,280715021929.9554,-0.00683
2004-11-01,Primary Producer Price Index,Commodity,0.919034,4796196667.9932,-0.007236
2004-11-01,Primary Producer Price Index,Ore,0.962645,43414365205.6158,-0.030221
2004-11-01,Primary Producer Price Index,Planetary Processed Materials,1.039514,1350503459.2474,0.000994
2004-11-01,Primary Producer Price Index,Planetary Refined Commodities,1.087378,2539260362.7299,0.004134
2004-11-01,Primary Producer Price Index,Planetary Specialized Commodities,1.125138,1562057876.2387,0.003642
2004-11-01,Secondary Producer Price Index,Blueprints,0.95983,79452938018.9157,-0.011868
2004-11-01,Secondary Producer Price Index,Commodity,1.01721,110462723958.7253,0.007069
2004-11-01,Secondary Producer Price Index,Planetary Commodities,1.35143,984416018.5925,0.001286
2004-11-01,Secondary Producer Price Index,Planetary Refined Commodities,0.551745,3076802960.3015,-0.005128
2004-11-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.047983,2852831655.2486,0.000509
2004-11-01,Secondary Producer Price Index,Tech II construction components,0.833938,72078958778.7396,-0.044511
2004-12-01,Consumer Price Index,Ammo,0.630065,56501675852.7942,-0.005944
2004-12-01,Consumer Price Index,Boosters,0.996131,5040047.6448,0.0
2004-12-01,Consumer Price Index,Commodity,0.914655,197520913323.7404,-0.004794
2004-12-01,Consumer Price Index,Drones,1.142262,19622586349.188,0.000793
2004-12-01,Consumer Price Index,Ice Products,0.271617,1789986196.9332,-0.00037
2004-12-01,Consumer Price Index,Implants,2.094438,430573893760.435,0.134027
2004-12-01,Consumer Price Index,Insignias,0.654478,14172930.6936,-1e-06
2004-12-01,Consumer Price Index,Skills,0.966052,347610183312.3622,-0.003356
2004-12-01,Consumer Price Index,Starbase structures,0.959714,113671618836.8028,-0.001302
2004-12-01,Consumer Price Index,Tech I modules,1.070738,298791701154.931,0.006011
2004-12-01,Consumer Price Index,Tech I ships,1.024667,1620117225487.831,0.011366
2004-12-01,Consumer Price Index,Tech II modules,0.985377,300439259124.2008,-0.001249
2004-12-01,Consumer Price Index,Tech II ships,0.889748,129298211619.3698,-0.004054
2004-12-01,Mineral Price Index,High-End Minerals,1.084665,533299629092.6696,0.054782
2004-12-01,Mineral Price Index,Low-End Minerals,1.072379,290894625784.3367,0.025545
2004-12-01,Primary Producer Price Index,Advanced Moon Materials,1.080206,570025619.2148,0.000432
2004-12-01,Primary Producer Price Index,Alloys & Compounds,0.716585,14515.7229,0.0
2004-12-01,Primary Producer Price Index,Commodity,1.02747,3959086670.8639,0.001028
2004-12-01,Primary Producer Price Index,Ice,1.289014,4525601.7091,1.2e-05
2004-12-01,Primary Producer Price Index,Ore,1.046351,37214114462.7299,0.01631
2004-12-01,Primary Producer Price Index,Planetary Processed Materials,1.018656,6256772650.5724,0.001103
2004-12-01,Primary Producer Price Index,Planetary Refined Commodities,1.024244,33578674030.4402,0.007697
2004-12-01,Primary Producer Price Index,Planetary Specialized Commodities,0.953895,22266916463.209,-0.009707
2004-12-01,Primary Producer Price Index,Processed Moon Materials,24.353413,6453654.5368,0.001425
