history_date,region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
2022-06-01,10000044,Solitude,19306086452978.69,18267986806.5049,19240765410696.062,18323296457.7359,24275520363.0,156296877366.51,126977946505.5986,68718284983.58999,248408100132.44025,3994799.0,
2022-06-01,10000043,Domain,179038736284880.3,215462999605.8417,164518945204072.97,215958159447.1914,214861869670.0,521047696771.89,3001784199113.3926,34505817437338.15,653525504656.5833,197986307.0,
2022-06-01,10000042,Metropolis,287777688180730.2,322427303521.8029,274062214518314.75,322596315008.9715,790722383337.0,877882671988.67,1060657149207.4668,9144117294299.191,596533480092.1042,118503980.0,
2022-06-01,10000053,Cobalt Edge,6211170124550.83,5524270385.3237,5331787180525.212,4920057753.4417,256265685071.0,90265649624.39,430810566200.5002,10875607533.36,150651127869.32538,65541045.0,
2022-06-01,10000041,Syndicate,22460306463867.05,19668092185.7638,18689368339139.855,20084774142.5988,119260007530.0,375066189321.87,634991531126.8171,537309035464.53,95339027033.42262,30168069.0,
2022-06-01,10000047,Providence,26566799609831.53,26929039067.6889,28048127217813.945,24148942606.3609,538985904146.0,239154428600.1,1652506151950.3708,218222752738.23,159647764113.52017,59981114.0,
2022-06-01,10000054,Aridia,24145378492650.215,24468041128.4208,29919550506635.605,25243910779.1909,76032083394.0,295374112761.22,259709105203.8735,1346263139054.43,529396138866.71027,18607941.0,
2022-06-01,10000061,Tenerifis,72977748687521.23,141551036423.9959,82875421910258.3,142072963617.6023,638552324989.0,740754155325.13,120487148602.9079,136773816420.56,116995453921.06668,16961553.0,
2022-06-01,10000056,Feythabolis,48682496246853.33,100816768787.3716,22132753578238.28,34780863381.6774,86245949494.0,364686096737.97,10506549604.9309,12244177613.26,27074330159.669205,1346802.0,
2022-06-01,10000057,Outer Ring,8039774030507.026,7910618705.905201,5954797279346.272,7624333224.1699,51202956642.0,32013629814.66,95584909037.7317,224623034800.46,61469598330.80483,20622804.0,
2022-06-01,10000058,Fountain,46142597456536.84,66258883058.111496,43550066395319.69,65018679452.601906,1278243339763.0,558844692928.63,2448674407977.825,3215304021584.611,391972064285.93646,84483408.0,
2022-06-01,10000059,Paragon Soul,40631580610613.41,91604606452.9866,32198042032994.25,69041577338.1384,295988156808.0,125628269049.74,745000788150.8474,30714725222.93,49335597595.89046,16830813.0,
2022-06-01,10000060,Delve,150058080492757.06,297619186816.4007,139391424814057.48,253216133597.5842,1605937680925.0,1030699781464.2,12798457244182.656,15500659909603.61,617777208516.2719,256768882.0,
2022-06-01,10000062,Omist,5818445181184.691,6185828724.651701,6911778281399.748,7633377902.690499,364603777242.0,153116551387.46,11716744631.2184,17940038535.0,41021882775.72371,6665320.0,
2022-06-01,10000063,Period Basis,42510603722545.6,93947779436.1281,44623412442298.01,93820097113.0786,472169437021.0,121430476917.17,104079835606.9042,10628499673.45,118922049263.36723,42071441.0,
2022-06-01,10000064,Essence,254978274577072.62,378902814733.1375,249986761397041.5,379078716498.0037,97038679253.0,353247385406.73,714628079353.6368,3769557240416.439,330010132145.5729,97455955.0,
2022-06-01,10000065,Kor-Azor,98862775175541.78,104537155051.4664,97143412243250.64,104150172300.1532,95924884528.0,118929061764.47,264500189495.9335,1421004468167.5,223039290168.27145,24335230.0,
